Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
Performance,Use LazyColumn/LazyRow for long lists,Column with all items renders everything immediately; LazyColumn recycles and renders only visible items with minimal overhead,"Use LazyColumn with items() or itemsIndexed(); provide key lambda for stable identity; avoid heavy composables as direct children","Use Column(content={ items.forEach{item->ItemRow(it)} }) for long lists; repeat items without key identity","LazyColumn { items(items = posts, key = { it.id }) { post -> PostCard(post = post) } }","Column { posts.forEach { post -> PostCard(post = post) } }  // All items composed at once OOM risk",Critical,https://developer.android.com/jetpack/compose/lists
Performance,Minimize recomposition with remember and derivedStateOf,Composables recompose when read state changes; without derivedStateOf computed values trigger recomposition even when output hasn't changed,"Use remember for initialization; derivedStateOf for computed values from state; rememberSaveable for survive-recreation values","Create new object instances in composable without remember; use state.value directly without derivedStateOf when derived value is same","val isScrolled by remember { derivedStateOf { listState.firstVisibleItemIndex > 0 } }  // Only recomposes when scrolled changes","val isScrolled = listState.firstVisibleItemIndex > 0  // Recomposes every scroll event",High,https://developer.android.com/jetpack/compose/performance/stability
Performance,Use stable types and @Stable/@Immutable annotations,Compose uses type stability to decide if recomposition is needed; unstable types (List Map interface) trigger unnecessary recompositions,"Use data classes for UI state; wrap unstable collections in @Immutable; use ImmutableList from kotlinx.collections.immutable","Pass raw List<T> directly as composable parameter (unstable); use non-data class with var fields as state","@Immutable data class UiState(val posts: ImmutableList<Post>, val isLoading: Boolean)","data class UiState(val posts: List<Post>, val isLoading: Boolean)  // List is unstable triggers full recomposition",High,https://developer.android.com/jetpack/compose/performance/stability#fix-unstable-collections
Navigation,Use Navigation Compose with type-safe routes (Compose 1.8+ / NavController),Manual route string matching is error-prone; type-safe routes using @Serializable data classes prevent typos and provide compile-time safety,"Use NavController with type-safe NavDestination (@Serializable objects/classes); NavGraphBuilder DSL; popUpTo for correct back stack","Navigate by raw string 'home/{userId}' with manual parsing; use deprecated FragmentManager with Compose","@Serializable data class Profile(val userId: String); navController.navigate(Profile(userId=id)); composable<Profile> { back -> val args = back.toRoute<Profile>(); ProfileScreen(args.userId) }","navController.navigate(\"profile/$userId\"); composable(\"profile/{userId}\") { back -> back.arguments?.getString(\"userId\") }",High,https://developer.android.com/guide/navigation/design/type-safety
Navigation,Handle Android back with BackHandler,Compose screens need to intercept system back press for custom behavior; without BackHandler system back navigates out of scope,"Use BackHandler(enabled=condition) composable; disableDefault with enabled=false when not needed; prefer system back behavior when possible","Override Activity.onBackPressed instead of BackHandler in Compose; always enable BackHandler blocking all navigation (memory leak)","BackHandler(enabled = isSearchActive) { isSearchActive = false }  // Only intercepts when search is open","// In Activity: override fun onBackPressed() { /* custom */ }  // Doesn't work with Compose navigation",High,https://developer.android.com/jetpack/compose/handling-ui-events#back-nav
Layout,Use WindowInsets for edge-to-edge layouts,"Compose edge-to-edge requires consuming WindowInsets for nav bar status bar; Scaffold handles most cases but custom layouts need explicit inset handling","Call WindowCompat.setDecorFitsSystemWindows(window,false) in Activity; use Modifier.windowInsetsPadding(WindowInsets.systemBars) for custom layouts; Scaffold handles this automatically","Hardcode padding for navigation bar height; ignore gesture navigation bar inset (zero on gesture nav but not on 3-button)","@Composable fun Screen() { Modifier.windowInsetsPadding(WindowInsets.navigationBars) } // Manual edge-to-edge","Modifier.padding(bottom = 48.dp) // Hardcoded nav bar height breaks on gesture navigation",Critical,https://developer.android.com/develop/ui/compose/layouts/insets
State,Lift state appropriately — hoist to lowest common ancestor,State defined inside a composable can't be shared with siblings or parents needing it; unhoisted state prevents reuse and testing,"Hoist state to nearest common ancestor; pass state down and events (lambdas) up; use ViewModel for screen-level state","Class-level state in pure composable functions; duplicate state in sibling composables instead of hoisting","@Composable fun Screen(viewModel: ScreenViewModel = hiltViewModel()) { val uiState by viewModel.uiState.collectAsState(); Content(state=uiState, onAction=viewModel::handle) }","@Composable fun Screen() { var isLoading by remember { mutableStateOf(false) }; SiblingA(isLoading); SiblingB(isLoading) }  // Duplicated",High,https://developer.android.com/jetpack/compose/state#state-hoisting
State,Use ViewModel with StateFlow for screen state,Compose recomposition handles UI updates but state must survive configuration changes; ViewModel + StateFlow provides lifecycle-aware reactable state,"Use StateFlow<UiState> in ViewModel; collect with collectAsStateWithLifecycle(); single UiState sealed class/data class","Use LiveData in new Compose code (prefer StateFlow); multiple flows for different state pieces (merge into UiState)","val uiState: StateFlow<HomeUiState> = _uiState.asStateFlow(); @Composable fun Screen(vm: HomeVM) { val state by vm.uiState.collectAsStateWithLifecycle() }","var posts by mutableStateOf(listOf<Post>())  // In composable directly — lost on configuration change",Critical,https://developer.android.com/topic/libraries/architecture/viewmodel
Accessibility,Provide contentDescription for images and icons,Icon-only buttons and network images have no accessible name without contentDescription; TalkBack announces 'unlabeled' or file name,"contentDescription for informational images and icon buttons; null for decorative images; semantics block for custom roles","Leave contentDescription null on tappable Icon buttons; use generic 'icon' as description; describe appearance not meaning","Icon(Icons.Filled.Favorite, contentDescription = stringResource(R.string.like_post))","Icon(Icons.Filled.Favorite, contentDescription = null)  // Tappable icon with no accessible name",Critical,https://developer.android.com/jetpack/compose/accessibility
Accessibility,Mark headings in semantics for TalkBack navigation,TalkBack supports heading navigation via linear navigation or custom heading navigation; composables without heading role are not navigable as headings,"Use Modifier.semantics { heading() } on screen title and section headers; test with TalkBack heading navigation","Mark every large text as heading (only true headings); use heading for decorative large display text","Text('Your Feed', style=MaterialTheme.typography.headlineSmall, modifier=Modifier.semantics { heading() })","Text('Your Feed', style=MaterialTheme.typography.headlineSmall)  // Not navigable as heading by TalkBack",High,https://developer.android.com/jetpack/compose/accessibility#heading
