Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
Performance,Use FlatList instead of ScrollView for long lists,ScrollView renders all items upfront causing memory issues and slow initial render with 50+ items,"Use FlatList or SectionList; provide keyExtractor; set initialNumToRender=10; windowSize=5 for large lists","Use ScrollView.children=[...1000items]; render all items unconditionally","{<FlatList data={items} keyExtractor={i=>i.id} renderItem={({item})=><Row item={item}/>} initialNumToRender={10}/>}","<ScrollView>{items.map(i=><Row key={i.id} item={i}/>)}</ScrollView>",Critical,https://reactnative.dev/docs/flatlist
Performance,Memoize expensive list row components,Every parent re-render re-creates child components in list; without memo rows re-render even when their data hasn't changed,"Wrap row component in React.memo(); use useCallback for callbacks; avoid passing new object references as props on each render","Pass inline arrow functions as event handlers directly from parent to list item without memoization","const Row = React.memo(({ item, onPress }) => <Pressable onPress={onPress}>{item.title}</Pressable>)","const Row = ({ item, onPress }) => <Pressable onPress={() => doSomething(item)}>{item.title}</Pressable>",High,https://react.dev/reference/react/memo
Performance,Avoid complex computations in render path,Expensive calculations in component body or render function run on every re-render degrading animation and UI smoothness,"Use useMemo for expensive derived data; move static data outside component; useCallback for handlers; avoid creating Date/Objects inline in render","Filtering/sorting large arrays inline in JSX; creating new object literals as style props on every render","const sorted = useMemo(() => items.sort((a,b)=>b.date-a.date), [items])","const render = () => <List data={items.sort((a,b)=>b.date-a.date)} />",High,https://react.dev/reference/react/useMemo
Navigation,React Navigation Stack: configure screen options correctly,Screen options misconfiguration causes visual glitches incorrect headers and broken transitions,"Set screenOptions on navigator for defaults; per-screen options.title; headerBackTitle for iOS back label; headerShown:false for screens with custom header","Mixing navigation v5 and v6 APIs; hardcoding screen dimensions for navigation bar height","<Stack.Navigator screenOptions={{headerStyle:{backgroundColor:'#fff'},headerTintColor:'#000'}}><Stack.Screen name='Home' options={{title:'Feed'}}/></Stack.Navigator>","<Stack.Navigator><Stack.Screen name='Home' component={Home} options={{headerBackTitle:'Back was here'}}/></Stack.Navigator>",High,https://reactnavigation.org/docs/stack-navigator
Navigation,Use Linking API for deep links,Deep links require platform configuration plus React Navigation Linking setup for URL-to-screen routing,"Define linkingConfig with prefixes and screens map; test with adb shell am start -a android.intent.action.VIEW -d yourapp://path; test iOS with xcrun simctl openurl","Manually parse URL strings in useEffect; use navigation.navigate without link structure","const linking = { prefixes: ['myapp://'], screens: { Home: 'home', Profile: 'profile/:userId' } }; <NavigationContainer linking={linking}>","useEffect(()=>{ const url = Linking.getInitialURL(); navigate based on custom URL parser })",Medium,https://reactnavigation.org/docs/deep-linking
Layout,Use SafeAreaView from react-native-safe-area-context,The built-in SafeAreaView from RN core is unreliable and doesn't handle all device notch variants; always use the context version,"Install react-native-safe-area-context; wrap app in SafeAreaProvider; use useSafeAreaInsets() or SafeAreaView","Use import {SafeAreaView} from 'react-native' (unreliable); hardcode padding values for notch","import { SafeAreaView, useSafeAreaInsets } from 'react-native-safe-area-context'; const {top} = useSafeAreaInsets();","import { SafeAreaView } from 'react-native'; // Don't - unreliable",Critical,https://github.com/th3rdwave/react-native-safe-area-context
Layout,Use StyleSheet.create for styles,StyleSheet.create validates style fields and optimizes style objects by ID rather than object reference on each render,Define all styles in StyleSheet.create at module level; reference by name; combine with array style prop for conditional styles,"Define styles as plain objects or inline in JSX; use dynamic StyleSheet.create inside render function","const styles = StyleSheet.create({ container: { flex: 1, padding: 16, backgroundColor: '#fff' } })","const styles = { container: { flex: 1, padding: 16 } }; // No StyleSheet.create",Medium,https://reactnative.dev/docs/stylesheet
Layout,Handle keyboard with KeyboardAvoidingView correctly,Text inputs behind the keyboard need the view to adjust; wrong behavior prop causes incorrect or no adjustment,"Use behavior='padding' on iOS; behavior='height' on Android; wrap only the screen portion below the nav bar","Wrap entire screen including navigation bar; use fixed bottom padding instead; forget to set behavior prop","<KeyboardAvoidingView behavior={Platform.OS==='ios'?'padding':'height'} style={{flex:1}}><ScrollView>{inputs}</ScrollView></KeyboardAvoidingView>","<KeyboardAvoidingView><View style={{paddingBottom:300}}>{inputs}</View></KeyboardAvoidingView>",High,https://reactnative.dev/docs/keyboardavoidingview
Styling,Use Platform.OS for platform-specific styles,iOS and Android have different visual conventions; forcing one style on both looks wrong or broken,"Use Platform.select() or Platform.OS===ios check for elevation vs shadow; font weights; subtle color differences","Use identical styles everywhere ignoring platform visual conventions; use Platform.OS inside render on hot path","const shadowStyle = Platform.select({ ios: { shadowColor:'#000', shadowOffset:{width:0,height:2}, shadowOpacity:0.1, shadowRadius:4 }, android: { elevation: 4 } })","const shadowStyle = { shadowColor:'#000', shadowOffset:{width:0,height:2}, shadowOpacity:0.1, elevation:4 } // mixed won't work on Android",High,https://reactnative.dev/docs/platform
Accessibility,Add accessibilityLabel to all touchable elements without text,Icon buttons and image-only Pressables have no accessible name without an explicit label,"Add accessibilityLabel to every Pressable TouchableOpacity Image without visible text; accessibilityHint for less obvious actions","Rely on image alt text or assume screen reader extracts label from children icons","<Pressable accessibilityLabel='Add to cart' accessibilityRole='button' onPress={handleAdd}><Icon name='cart'/></Pressable>","<TouchableOpacity onPress={handleAdd}><Icon name='cart'/></TouchableOpacity> // No label",Critical,https://reactnative.dev/docs/accessibility
Accessibility,Use accessibilityRole correctly,Role determines how screen reader announces and interacts with element; wrong role confuses users,"Use: button link text header image checkbox radio combobox; mark headings as header role; check for interactive elements","Default role='none' on Pressable (reads as 'button' anyway in some RN versions but inconsistent)","<Text accessibilityRole='header' style={styles.title}>Today's Tasks</Text>","<Text style={styles.title}>Today's Tasks</Text> // No heading role announced",High,https://reactnative.dev/docs/accessibility#accessibilityrole
Images,Use FastImage for performant network images,React Native's built-in Image component doesn't cache disk-to-memory efficiently; large lists with network images stutter,"Install react-native-fast-image; use priority system; resizeMode cover or contain; provide default placeholder","Use Image for large lists with network content; fetch same URL multiple times without caching","<FastImage style={styles.avatar} source={{ uri: avatarUrl, priority: FastImage.priority.normal }} resizeMode={FastImage.resizeMode.cover}/>","<Image source={{ uri: avatarUrl }} style={styles.avatar} />  // No caching",High,https://github.com/DylanVann/react-native-fast-image
Animation,Use Reanimated 2+ for performant animations,JS-thread animations (Animated API) block during heavy JS work; Reanimated runs on UI thread for smooth 60fps during JS busy periods,"Use reanimated2 useSharedValue useAnimatedStyle; keep animated values on UI thread; avoid runOnJS unless necessary","Use Animated.Value for complex gesture-driven animations; setValue in animation callbacks causing JS bounce","const opacity = useSharedValue(0); const animStyle = useAnimatedStyle(()=>({ opacity: withSpring(opacity.value) })); useEffect(()=>{opacity.value=1},[])","Animated.timing(opacityValue,{toValue:1,duration:300,useNativeDriver:true}).start() // RN Animated on JS thread",High,https://docs.swmansion.com/react-native-reanimated/
Animation,Always use useNativeDriver for Animated API,useNativeDriver:true moves animation to native UI thread; false (default) runs on JS thread and jank occurs during JS processing,"Add useNativeDriver:true to every Animated timing/spring/decay; cannot use with layout properties (width height)","Forget useNativeDriver; use native driver with width/height/padding animations","Animated.timing(val, { toValue: 1, duration: 300, useNativeDriver: true }).start()","Animated.timing(val, { toValue: 1, duration: 300 }).start() // defaults to JS thread",Critical,https://reactnative.dev/docs/animations#using-the-native-driver
State Management,Avoid passing setState down more than 2 levels,Prop drilling setState through 3+ component levels creates coupling and makes refactoring painful,"Use React Context for 2-3 component depth state; use Zustand/Jotai for global state; colocate state close to where it's used","Thread setState through 5+ levels of props; use global state for local component state","const CartContext = createContext(); export const useCart = () => useContext(CartContext); // Then wrap with <CartContext.Provider>","<A addToCart={addToCart}><B addToCart={addToCart}><C addToCart={addToCart}/></B></A>  // Drilling",Medium,https://react.dev/learn/passing-data-deeply-with-context
Testing,Use React Native Testing Library for component tests,Direct testing of RN component instances is brittle; RNTL provides semantic user-centric query methods,"Use screen.getByRole(); screen.getByLabelText(); fireEvent.press(); waitFor for async; test behavior not implementation","Query by component name or index; test internal state; mock entire children components when not necessary","render(<LoginForm/>); const button = screen.getByRole('button', {name:'Sign In'}); fireEvent.press(button); await waitFor(()=>expect(screen.getByText('Welcome')).toBeTruthy())","const wrapper = shallow(<LoginForm/>); expect(wrapper.state('loading')).toBe(true)  // Enzyme testing internals",High,https://callstack.github.io/react-native-testing-library/
Gestures,Use Gesture Handler for complex touch interactions,RN built-in touch events can't be easily composed or cancelled; gesture collisions and priority require Gesture Handler,"Use GestureDetector with Gesture.Pan().Tap().Simultaneous(); define gestureHandlerRootHOC at app root","Use PanResponder for complex gestures (callback hell); rely on onPress for multi-gesture interactions","const pan = Gesture.Pan().onUpdate(e=>{translateX.value=e.translationX}).runOnJS(true);<GestureDetector gesture={pan}><Animated.View style={animStyle}/></GestureDetector>","const panResponder = PanResponder.create({ onMoveShouldSetPanResponder:()=>true, onPanResponderMove:(e,gs)=>{...} })",High,https://docs.swmansion.com/react-native-gesture-handler/
Platform,Wrap app root with proper providers,Missing providers cause runtime errors hooks returning undefined or missing context; order matters,"GestureHandlerRootView → NavigationContainer → SafeAreaProvider → ThemeProvider → YourApp; GestureHandlerRootView must be outermost","Put NavigationContainer inside GestureHandlerRootView incorrectly; forget SafeAreaProvider; multiple NavigationContainers","<GestureHandlerRootView style={{flex:1}}><SafeAreaProvider><NavigationContainer><App/></NavigationContainer></SafeAreaProvider></GestureHandlerRootView>","<NavigationContainer><GestureHandlerRootView><App/></GestureHandlerRootView></NavigationContainer>  // Wrong order",Critical,https://reactnative.dev/docs/getting-started
Error Handling,Handle network errors in data fetching gracefully,Unhandled promise rejections and network errors cause silent failures or crashes; user sees blank screen,"Show error state UI; retry mechanism; network status awareness; use react-query or SWR for automatic retry","Ignore catch blocks; show nothing on network failure; crash on undefined data from failed fetch","const {data,error,isLoading} = useQuery({queryKey:['posts'],queryFn:fetchPosts}); if(error) return <ErrorView retry={refetch}/>;","fetch(url).then(res=>res.json()).then(setData) // No error handling - silent failure on network error",High,https://tanstack.com/query/latest
