Component Name,Keywords,Platform Variants,Purpose,Do,Don't,Haptic Feedback,Animation Spec,Accessibility
Bottom Sheet,bottom sheet modal sheet overlay panel,iOS: UISheetPresentationController; Android: ModalBottomSheet (MD3),Present secondary content without losing context (filters actions details media),"Use grab handle to hint draggability; support swipe-to-dismiss; provide scrim for modal variant","Block full screen unnecessarily; use for primary navigation; open bottom sheets from bottom sheets (stack)",Optional: impact on expand,Expand: 300ms ease-out spring; Dismiss: 250ms ease-in,Announced as 'popup'; focus moves to first element; background covered by scrim prevents interaction; swipe-down dismisses for VoiceOver
Floating Action Button (FAB),fab floating action button primary create add action,iOS: No native — use custom; Android: FAB / Extended FAB / Small FAB (MD3),Trigger primary screen action (create compose record add),Single FAB per screen; position bottom-right; use extended FAB with label for clarity,"Multiple FABs on one screen; use for navigation (use tab bar); hide behind other content",Impact on press,Scale 0.95 on press 80ms; appear with scale+fade 300ms,Required: accessibilityLabel describing action not just icon; tooltip on long press; 'Button' role implied
Snackbar,snackbar toast notification brief message undo action,iOS: Custom (no native Snackbar); Android: Snackbar (MD3),"Brief feedback message after action; optional single action (Undo); auto-dismissing","Auto-dismiss after 4s; one action max (Undo); position above nav bar; avoid stacking","Block user; show errors (use Alert/Dialog); show while keyboard is open (obscures content)",None,Appear: 250ms slide up; Dismiss: 200ms fade out,"Announced via accessibility live region; action button fully accessible; avoid timing-out before user reads (extend on focus)"
Alert Dialog,alert dialog popup confirm destructive warning,iOS: UIAlertController (.alert style); Android: AlertDialog / BasicDialog (MD3),Confirm destructive actions; present critical decisions requiring immediate response,"Keep to 2 actions (max 3); title required; positive action = rightmost on iOS","Auto-dismiss; present non-critical info (use snackbar); use for long content (use full sheet)",Impact on appear,Pop-in: scale 0.95→1 + fade 200ms; Dismiss: 150ms fade,Focus moves to dialog; background blocked; title read on appear; button labels must be self-explanatory; Escape/back = cancel
Action Sheet,action sheet bottom options ios share menu,iOS: UIAlertController (.actionSheet); Android: ModalBottomSheet with list (MD3),"Present 3-8 contextual options; share menu; 3-dot menu expansion","Include Cancel option; group related actions; destructive action in red at bottom (iOS)","Show more than 8 options (use full sheet list); replace modal navigation; show on first launch",Light impact on appear,Slide up 250ms ease-out; Cancel tap: slide down 200ms,Each option fully accessible; sheet announced as 'action sheet'; Cancel always first focus OR bottom most
Skeleton Loader,skeleton loading shimmer placeholder loading state,iOS: Custom; Android: Shimmer / Lottie / Custom Compose,Indicate content is loading while preserving layout,"Match final content dimensions; animate shimmer 1-1.5s loop; display after 200ms delay","Show for <200ms loads (just show content); display after content loads; use for unknown content shapes",None,Shimmer animation 1200ms linear infinite horizontal gradient,Announce 'Loading' to screen readers; transition to 'loaded' announced; avoid jarring content shift after load
Pull-to-Refresh Indicator,pull to refresh indicator spinner loading refresh,iOS: UIRefreshControl; Android: SwipeRefreshLayout / PullRefresh Compose,Signal that a manual data refresh is in progress,"Use standard system controls; provide haptic on trigger; return to top after refresh","Trigger refresh automatically on scroll (user expectation violation); use for initial load (show skeleton)",Light impact on trigger,Expand on pull proportional to pull distance; spinner after threshold cross,Add manual refresh button for accessibility; announce 'refreshing' and 'refreshed' via live region
Search Bar,search bar input filter search field search,iOS: UISearchBar / UISearchController; Android: SearchBar + SearchView (MD3),Filter content or trigger search flow,"Activate on tap; show cancel/clear button; preserve query on back","Auto-submit on every keystroke (debounce 300ms); hide below fold; force full-screen overlay for simple filter",None,Expand from icon: width 250ms ease-out; suggestions appear 150ms fade,Label: 'Search field'; hint text read as placeholder; clear button labeled 'Clear search'; results count announced
Navigation Bar (iOS),navigation bar top bar app bar title back,iOS: UINavigationBar; Android: TopAppBar (MD3),Display current screen title and actions (back edit share search),"Large title on root level; standard title on drill-down; 2-3 actions max right side","Overload with many buttons (3+ right); use for primary content; custom heights that break system behavior",None,Cross-dissolve title transition on push 300ms; large-to-standard title collapse on scroll,"Title announced on screen push; back button accessible; buttons described with labels not just icons"
Context Menu (Long Press),context menu long press preview peek actions,iOS: UIContextMenuInteraction; Android: PopupMenu / ContextMenu,Provide quick access to item-level actions without navigating away,"Include preview when meaningful; max 5-7 items; organize with separators","Show for primary actions (use buttons); auto-open on load; duplicate main screen actions unnecessarily",Light impact on open,Preview scale pop 0.98→1 250ms spring; menu fade-in 150ms,"'Actions' available via VoiceOver double-tap-hold or swipe up for actions; each action labeled; dismiss on Escape/back"
Badge / Notification Dot,badge notification count dot unread indicator,iOS: UITabBarItem.badgeValue; Android: MaterialBadge (MD3); NotificationBadge,Indicate unread count or new activity without interrupting user,"Show meaningful count; cap at 99+; red for urgent neutral for info","Animate badge on every update (distracting); badge decorative information; show exact count over 999",None,Badge appear: scale 0 → 1 bounce 200ms spring; count change: brief pulse 150ms,"Badge value announced with context: '3 unread, Inbox'; dot badge: 'New content in [tab name]'"
Progress Bar / Indicator,progress bar loading indicator progress determinate indeterminate,iOS: UIProgressView / UIActivityIndicatorView; Android: LinearProgressIndicator / CircularProgressIndicator (MD3),Communicate loading or task progress status,"Determinate (known duration); indeterminate (unknown); show after 500ms threshold","Show for instant operations; use spinner for indefinite but short waits; block UI unnecessarily",None,"Determinate: animate value change 300ms ease-in-out; Indeterminate: infinite 1200ms cycle loop","Progress value announced as percentage; label describes task: 'Uploading photo, 60%'; complete state announced"
Tab Bar Item,tab bar item icon label badge indicator,iOS: UITabBarItem; Android: NavigationBarItem (MD3),Represent a top-level section in the tab bar navigation,"Icon + label both visible; 44pt touch target; 2-5 items","Text-only tabs (iOS HIG); icon-only without label (Android MD3 recommends labels); more than 5 items",Selection: selection haptic light,Selected state: color shift 100ms ease; badge bounce 200ms spring on appear,"Label + icon announced: 'Home, tab 1 of 5'; selected state: 'Home, selected'; badge: '3 unread, Home, tab 1 of 5'"
Chip,chip filter tag label pill selectable removable,iOS: Custom pill; Android: AssistChip FilterChip InputChip SuggestionChip (MD3),Compact elements for filters input tags or suggestions,"Wrap chips to multiple rows if needed; min 32pt/40dp height; group related chips","Chips for navigation (use tabs); primary actions (use button); make too small to tap",Selection: light haptic,Selected: background color fill 100ms; deselect: 100ms reverse,Chip type/role announced; selected state announced; removable chips: X button labeled 'Remove [chip name]'
Empty State,empty state no content zero state first use,iOS: Custom; Android: Custom (no standard component),Communicate when a list or screen has no content and guide next action,"Illustrate the empty scenario; include primary CTA to fill the gap; friendly copy","Show empty state during loading; use generic 'No results' without guidance; sad/error message for expected-empty",None,Fade in after data confirmed empty 300ms; illustration entrance from bottom 250ms ease-out,Announce 'No items' with context; CTA button accessible; avoid emoji-only illustration (no text alternative)
Toast (Android),toast android toast brief message auto-dismiss,iOS: Custom; Android: Toast (legacy) / Snackbar (preferred MD3),"Very brief non-actionable system message; background app events; legacy pattern (prefer Snackbar)","Use Snackbar instead; auto-dismiss 2-3.5s short; app-wide usage only","Use Toast for important messages (use Snackbar with action); show from Activity after activity finishes",None,Appear: fade in 150ms; Dismiss: fade out 150ms,"Announced via accessibility live region; no action possible — use Snackbar if action needed; prefer Snackbar for all new code"
Segmented Control,segmented control segment toggle switch view mode,iOS: UISegmentedControl; Android: SegmentedButton (MD3),Toggle between 2-5 mutually exclusive view modes or options,"Use for immediate effect (not form submission); 2-4 options ideal; equal width segments","Navigation between screens (use tabs); more than 5 segments; use for binary on/off (use Switch)",Light haptic on segment change,Selected segment: 200ms fill transition; pressed: 50ms scale 0.97,"'Segmented control' role; selected value announced; options count: '3 options, Photos selected'"
Switch / Toggle,switch toggle on off setting preference binary,iOS: UISwitch; Android: Switch (MD3),Enable or disable a single setting or feature,"Label left or above toggle; show immediate effect; confirm destructive toggles","Multi-toggle without context; use as confirmation substitute (use modal); no label",Light haptic on toggle,Thumb slide: 250ms spring ease; track color: 150ms ease,State announced on change: 'Dark mode, on' / 'off'; label read before state; role: 'switch'
Image Picker,image picker photo gallery camera media select,iOS: PHPickerViewController / UIImagePickerController; Android: Photo Picker (Android 13+); ActivityResultApi,Let user select photo or video from library or capture new,"Use system picker for privacy; support multiple selection if needed; preview before upload","Build custom gallery (permissions implications); access all photos without PHPickerViewController (iOS)","Use PHPicker (no permission needed for selection); check Info.plist keys for camera","Use Photo Picker API (no storage permission on Android 13+); camera needs CAMERA permission","System pickers are accessible; custom pickers need full accessibility implementation: image labels grid nav"
Pull-Down Menu,pull-down menu dropdown button menu ios,iOS: UIMenu on UIButton (iOS 14+); Android: DropdownMenu (MD3),Show list of options anchored to a button,"Show 3-8 options; include icons for quick scanning; use separator between groups","Too many options (use full sheet); primary single action (just use button); on Android prefer DropdownMenu MD3",Light on menu open,Menu appear: 150ms scale from anchor + fade; Dismiss: 100ms fade out,"Button announces 'shows menu' as hint; menu items announced; checkmarks read as 'selected'; Escape/back dismisses"
