Gesture Name,Keywords,Platform,Trigger,Expected Response,Conflicts,iOS Hint,Android Hint,Accessibility Alternative
Tap,tap touch select activate click,Both,Single finger tap on element,Activates button / selects item / opens link,Double tap (zoom); Long press (context menu),"UITapGestureRecognizer; minimum 44×44pt target","ClickListener; minimum 48×48dp target; ripple feedback",Use standard button/link elements — automatically activatable by screen reader
Double Tap,double tap zoom accessibility magnify,Both,Two quick taps same element,"Zoom in map/image; Like action (social); re-focus","Tap; Triple tap (VoiceOver navigation)","UITapGestureRecognizer numberOfTapsRequired=2; MKMapView zoom","GestureDetector.onDoubleTap; MotionEvent.ACTION_DOWN x2","Not recommended as primary action — VoiceOver uses double tap for activation; provide tap alternative"
Long Press,long press hold press haptic context menu,Both,Hold finger on element 500ms+,"Context menu appears; drag enablement; haptic feedback; copy/paste","Scroll (drag starts); Force Touch (iOS)","UILongPressGestureRecognizer; minimumPressDuration 0.5s; UIContextMenuInteraction","GestureDetector.onLongPress; HapticFeedbackConstants.LONG_PRESS; PopupMenu anchor","VoiceOver 'Actions' menu replicates long press; Android: long press must have keyboard/TalkBack equivalent"
Swipe Left (List Action),swipe left list action delete archive dismiss,Both,"Horizontal swipe left on list item >30% width","Reveals delete / archive / action buttons","Scroll (if threshold not met); Swipe right","UISwipeActionsConfiguration; UITableView trailingSwipeActions; reveal destructive red action","ItemTouchHelper; SwipeToDismiss in Compose; swipeableItem Compose","TalkBack 'Actions' menu provides delete/archive without swipe; announce available actions on focus"
Swipe Right (List Action),swipe right list action archive mark read,Both,"Horizontal swipe right on list item","Reveals leading action (archive mark-read flag)","Scroll; Swipe left","UITableView leadingSwipeActions; non-destructive green/blue action","ItemTouchHelper.RIGHT; Compose swipeableItem leading","TalkBack: 'Actions' menu for same actions; leading actions less discoverable — ensure TalkBack alternative"
Pull to Refresh,pull to refresh refresh reload swipe down top,Both,Pull list downward from very top (beyond scroll start),"Loading indicator appears; content refreshes","Overscroll effect; Drag from top","UIRefreshControl; attach to UIScrollView; spinner + message","SwipeRefreshLayout; PullRefresh in Compose; RefreshIndicator in Flutter","Not accessible via TalkBack/VoiceOver by default — add a refresh button always; announce 'refreshed' when done"
Swipe to Dismiss (Modal),swipe down dismiss modal sheet close,iOS,"Swipe modal/sheet downward from anywhere / drag handle","Modal closes / sheet collapses to smaller detent","Scroll content within modal","UISheetPresentationController; isModalInPresentation prevents dismiss; grabber visible","Not standard on Android — use close button or scrim tap","Modal close button (X/Done) is the accessible path; announce 'dismissed' on close"
Edge Swipe Back (iOS),edge swipe back iOS navigation gesture return,iOS,"Swipe right starting from left edge of screen","Navigates back to previous screen with push animation","Overlapping horizontal scroll at screen edge","interactivePopGestureRecognizer; enabled by default in UINavigationController; can conflict with side drawers","Not applicable — Android uses system back","Fully supported by VoiceOver navigation as 'back'; no extra work needed; conflicts with drawer swipe — choose one"
Android Back Gesture,android back swipe predictive gesture system,Android,"Swipe inward from either screen edge (Android 13+)","Returns to previous screen; predictive back preview shows destination (API 34+)","Edge scroll; Drawer open gesture","Not applicable on iOS","Enable predictive back: android:enableOnBackInvokedCallback=true; handle in onBackPressedDispatcher","System-level — fully accessible via TalkBack; predictive back shows visual preview"
Pinch to Zoom,pinch zoom scale expand collapse two finger,Both,Two fingers move apart (zoom in) or together (zoom out),"Scales content (map image PDF); zoom level changes","Rotate gesture (similar two-finger)","UIPinchGestureRecognizer; min/max scale limits; spring-back to bounds","ScaleGestureDetector; pinchable modifier in Compose","Add zoom in/out buttons as alternative; screen reader users cannot do multi-touch; announce zoom level"
Rotate,rotate two finger turn orientation,Both,"Two fingers rotate clockwise/counter-clockwise","Rotates image / map orientation","Pinch (similar two-finger starting point)","UIRotationGestureRecognizer; use alongside pinch for image editors","RotateGestureDetector; combine with ScaleGestureDetector","Must have button alternative for rotation; announce rotation angle in degrees"
Pan / Drag,pan drag move position scroll,Both,"One finger hold and move","Drags element to new position; scrolls content","Long press start confusion; swipe actions at edge","UIPanGestureRecognizer; UIDragInteraction for drag-and-drop","GestureDetector.onPanUpdate; draggable Modifier in Compose","Drag-and-drop requires keyboard/accessibility alternative per WCAG 2.5.7; announce new position on drop"
Scroll,scroll vertical horizontal swipe momentum,Both,"One finger swipe on scrollable area","Content scrolls in swipe direction; momentum continues after lift","Swipe actions (conflicting thresholds); Pull to refresh","UIScrollView; scrollsToTop on status bar tap; bounce effect","NestedScrollView; fling velocity; OverScroll effect","Keyboard arrow keys on large screens; scroll position announced by VoiceOver as percentage; snap points announced"
Two-Finger Scroll,two finger scroll accessibility scrolling,iOS,"Two fingers swipe on screen","VoiceOver: scrolls content; non-VoiceOver: not typically used","One finger scroll conflicts","Used by VoiceOver for scrolling when element is focused; not a custom gesture","TalkBack: two-finger scroll is a system gesture too","This IS the accessibility path — do not override or intercept two-finger scroll"
Three-Finger Tap,three finger tap undo redo ios text,iOS,"Three fingers tap once","Undo typing (iOS); app-level undo if implemented","Two-finger tap; Triple tap","Shake to undo is alternative; three-finger double-tap = redo","No equivalent on Android","VoiceOver uses three-finger gestures for navigation — never override three-finger gestures"
Shake to Undo,shake undo motion gesture accelerometer,Both,"Device shaking motion","Undo last text input action (iOS); custom app-wide undo","Accidental shakes (low threshold = false positives)","UIResponder.motionBegan(.shake); enabled by default for text; canBecomFirstResponder required","Not standard; custom via SensorManager","Shake is not accessible (users with motor impairments); always provide an undo button as alternative"
Force Touch / Haptic Peek,force touch 3d touch haptic peek preview,iOS,"Deep press on iOS device with 3D Touch (older iPhones)","Preview popup (Peek); release to open (Pop); swipe up for actions","Long press (use long press as fallback; 3D Touch deprecated)","availableHapticFeedbackTypes; UIPreviewAction; deprecated in iPhone 11+; replaced by long press","Not available on Android","Long press is modern iOS fallback and is fully accessible; 3D Touch had no accessibility equivalent"
Swipe Between Pages,swipe horizontal pages pager swipe left right,Both,"Full-width horizontal swipe on page","Navigates to adjacent page; page indicator updates","Tab switching; Carousel scroll","UIPageViewController; UIScrollView.isPagingEnabled; SwiftUI TabView + .page style","ViewPager2; HorizontalPager in Compose; scroll snap CSS-like","Add prev/next buttons as accessible alternative; announce page number and total; 'Page 2 of 5'"
Pinned-Section Scroll,sticky header section pin scroll,Both,"Scrolling past section boundary","Section header sticks to top while section content scrolls underneath","Standard scroll","UICollectionView compositional layout section header pinned","StickyHeader in LazyColumn via stickyHeader {}; LazyListState","Announce section name when pinned header changes; VoiceOver navigates by heading if marked as header"
Scroll to Top,scroll top status bar tap,iOS,"Tap on iOS status bar","Scrolls content to very top instantly",None — status bar area reserved,"UIScrollView.scrollsToTop = true (default); only works on topmost scroll view","No equivalent — add scroll-to-top FAB button on Android","Accessible via VoiceOver quick nav to top; Android needs explicit button"
