Pattern Name,Keywords,Pattern Type,When to Use,When to Avoid,iOS Convention,Android Convention,Cross-Platform Note,Accessibility
Tab Bar,tab bar bottom navigation primary sections,Tab Bar,"Primary app sections (2-5 tabs); always-visible destinations; equal-weight sections","More than 5 tabs; hierarchical content; infrequently used sections","UITabBarController; tabs at bottom; SF Symbols icons; title + icon; max 5 tabs","Bottom Navigation Bar; 3-5 destinations; Material Icons; label visible; min 3 tabs","React Navigation BottomTabNavigator; Flutter BottomNavigationBar / NavigationBar","Each tab must have accessibilityLabel; badge values announced; active tab state announced"
Stack Navigator,stack push navigation drill-down hierarchy,Stack,"Hierarchical content; drill-down flows; detail views; multi-step flows","Peer-level navigation; equal-weight sections that users switch between frequently","UINavigationController; back button top-left; swipe-right to go back; large title on root","Jetpack Navigation; top app bar with back arrow; system back button/gesture; Material You","React Navigation Stack; Flutter Navigator 2.0 / GoRouter; NavigationStack (SwiftUI)","Back button must be accessible; screen title announced on push; swipe-back has no a11y alternative — add back button"
Drawer Navigation,drawer sidebar menu hamburger navigation,Drawer,"Secondary navigation; many destinations; settings/profile access; less frequent destinations","Primary navigation (prefer tab bar); if 5+ main sections consider tabs first","Not native iOS — use custom or avoid; prefer tab bar or contextual menus","NavigationDrawer (MD3); hamburger menu in top app bar; swipe from left edge to open","React Navigation Drawer; Flutter Drawer widget; NavigationDrawer in Compose","Drawer must be reachable via button (not gesture only); announce open/close state; focus trapped inside when open"
Modal Sheet Full-Screen,modal full screen overlay dismiss,Modal,"Complete task before returning; immersive content (camera media); login/auth flows","Non-critical information; simple confirmations; use bottom sheet instead for partial content","UIViewController presented modally; UISheetPresentationController; dismiss via X or swipe down","Full-screen dialog (MD3); dismiss via back button/gesture; optional close icon top-right","React Navigation Modal stack; Flutter showDialog or MaterialPageRoute with fullscreenDialog","Screen reader should announce modal opened; focus moves to modal; background interaction blocked; ESC/back announces dismiss"
Bottom Sheet,bottom sheet sheet modal partial overlay,Bottom Sheet,"Secondary actions; additional info without leaving context; media player; filter panel","Primary actions (use FAB); single most important action (use button); deep navigation","UISheetPresentationController (.medium .large detents); grab bar; swipe to dismiss","ModalBottomSheet (MD3); persistent or modal; drag handle optional; scrim dismisses","React Native @gorhom/bottom-sheet; Flutter showModalBottomSheet; Compose ModalBottomSheet","Accessible via VoiceOver swipe; announce sheet as 'popup'; focus moves to first interactive element in sheet"
Search Overlay,search search bar overlay fullscreen,Search Overlay,"App-wide search; filtering large lists; content discovery","Always-visible search bar (embed in nav bar instead); single-screen filtering (use inline)","UISearchController; embedded in nav bar or full-screen; activates on tap; clear button","SearchBar (MD3); expands to full top bar; activated on icon tap; clear X when typing","React Native SearchBar pattern; Flutter SearchDelegate or SliverAppBar pinned search","Search field must be labeled; results count announced; clear button labeled 'Clear search'"
Deep Link Destination,deep link universal link routing url,Deep Link,"External links (email notifications marketing); re-engagement; cross-app routing","First-time user flow (show onboarding); empty/loading state","Universal Links (apple-app-site-association); scene(_:openURLContexts:); handle in SceneDelegate","App Links (Digital Asset Links JSON); intent-filter in AndroidManifest; handle in Activity","React Navigation linkingOptions; GoRouter uri redirect; useDeepLinking Flutter","Deep links must not bypass required auth; maintain back stack; handle invalid URLs gracefully"
Split View,split view master detail ipad large screen landscape,Split View,"iPad and large-screen layouts; master-detail patterns; productivity apps","Phone-only apps; content that requires full width; games","UISplitViewController; sidebar + detail column; .doubleColumn or .tripleColumn style","Adaptive layout with NavigationRail + detail pane; fold display support","React Navigation split; Flutter NavigatorRail; adaptive layout pattern","Both panels must be reachable; column headers announced; collapsed/expanded state announced"
Nested Tab,nested tab tab within tab secondary tabs,Nested Tab,"Section-within-section content; multiple dimensions of categorization","More than 2 levels of tab nesting; when flat alternatives exist; confuses users quickly","Avoid nesting UITabBarController; use segment control inside a tab instead","Top Tabs inside a bottom nav tab via ViewPager2; use sparingly; max 2 levels","React Navigation nested stacks inside bottom tabs; Flutter tabs inside tab","Each level of tabs must be labeled distinctly; avoid duplicate tab labels across levels"
Top Tab Bar,top tab horizontal scrollable tab swipe,Top Tab Bar,"Peer-level content categories; swipeable between sections (social feeds media)","Primary app navigation (prefer bottom nav on mobile); more than 7 top tabs","Not native iOS — use UISegmentedControl for 2-3 options; TabView with PageTabViewStyle","TabRow / ScrollableTabRow (MD3); swipe between pages; indicator underline","React Native react-native-tab-view; Flutter TabBar + TabBarView","Tab items must be labeled; selected state announced; swipe gesture navigable by accessibility"
