Category,Issue,Platform,iOS Tool,Android Tool,Minimum Spec,Do,Don't,Code Example,WCAG Level
Touch Target Size,interactive element too small to tap accurately,Both,Accessibility Inspector: tap target size audit; UIAccessibility.focusedElement,AccessibilityScanner app; Compose accessibilityTest; atLeast() matcher,iOS: 44×44pt minimum; Android: 48×48dp recommended (Google) 56×56dp for high-frequency,Add transparent padding to extend tap area beyond visual bounds; use frame/padding modifiers,Make icon buttons 20×20 without padding; rely on tiny text links as only action,"iOS: .frame(minWidth:44,minHeight:44); Android: Modifier.minimumTouchTargetSize(48.dp)",AA
Screen Reader Labels,element without accessible name label,Both,VoiceOver (iPhone) — swipe to navigate; enabled in Settings > Accessibility > VoiceOver,TalkBack (Android) — enabled in Settings > Accessibility > TalkBack,Every interactive element must have a name; images must have text alternative,"Add accessibilityLabel per element; describe function not appearance; images: brief description; decorative images: hidden","Icon buttons with no accessibilityLabel; labels that say 'Button' without context; duplicate labels for different elements","iOS: .accessibilityLabel('Add to cart'); Android: contentDescription=""Add to cart""",A
Heading Hierarchy,missing headings poor heading structure,Both,VoiceOver Rotor: Headings; navigate by heading,"TalkBack heading navigation; AccessibilityNodeInfo.getExtras() heading check","H1 per screen; logical hierarchy H1 > H2 > H3; no skipped levels (H1 → H3)","Mark screen title as H1; section headers as H2; avoid decorating text as heading for visual style only","Multiple H1s per screen; visual headings with no heading role; marking everything as heading for VoiceOver scrolling","iOS: .accessibilityAddTraits(.header); Android: ViewCompat.setAccessibilityHeading(view, true)",A
Focus Order,focus order unexpected illogical tab order,Both,VoiceOver swiping order revealed in testing,TalkBack swiping order revealed; AccessibilityNodeInfoDumper,Focus must follow visual reading order (LTR: left→right top→bottom),"Test by swiping through entire screen with VoiceOver/TalkBack; fix with accessibilitySortPriority; use semantic grouping","Focusable elements in DOM/view order that doesn't match visual layout; modal with focusable elements behind it reachable","iOS: .accessibilitySortPriority(); Android: ViewCompat.setAccessibilityPaneTitle(); importantForAccessibility",A
Dynamic Type Support,dynamic type font scaling text size user preference,iOS,VoiceOver with large text enabled (Settings > Accessibility > Larger Text); Simulator Accessibility > Font Scaling,TalkBack with Font Size increased; adb shell settings put system font_scale 1.3,iOS: must support Extra Small to Accessibility XXXLarge (up to 310% scale); Android: sp units scale automatically,"Use Dynamic Type text styles (title body caption); test at 200%+ scale; layouts must reflow not overflow","Hardcode font sizes in pt/px; clamp text to max 1 line at all sizes; define static width containers that can't expand","iOS: Font.custom('Brand',size:17,relativeTo:.body); Android: textSize in sp units only",AA
Color Contrast — Text,text contrast low insufficient foreground background,Both,Xcode Accessibility Inspector contrast checker; WWDC color audit tool,"Material Color Utilities contrast checker; Compose Modifier.semantics; Color Contrast Analyzer desktop tool","Normal text: 4.5:1 minimum; Large text (18pt+ or 14pt bold+): 3:1 minimum; UI components: 3:1","Test foreground text against all backgrounds including images; check in dark mode too; use contrast checker during design","Light gray on white; primary brand color text on white if insufficiently dark; placeholder gray as body text color",Xcode Accessibility Inspector: View Hierarchy > Accessibility > contrast ratio value,AA
Color as Sole Indicator,color only information no other indicator,Both,Accessibility Inspector: display color blind simulation,AccessibilityScanner checks; phone has color blind simulation mode,Do not use color as the only way to convey information — add icon shape pattern or text,"Add icons or text alongside color coding (success=green+checkmark; error=red+X); use pattern in charts","Pure green/red traffic-light status with no other indicator; chart series differentiated only by color line only","iOS: use SF Symbols .checkmark and .xmark alongside color; Android: use Warning / Check Material Icons with color",A
Announcement for State Changes,state change not announced dynamic content update,Both,VoiceOver: listen for automatic announcements; post UIAccessibility.post(notification:),TalkBack: announceForAccessibility() or AccessibilityEvent.TYPE_ANNOUNCEMENT; Compose semantics liveRegion,All dynamic content changes must be communicated to assistive technology,"Post announcements for: async data loads errors form submission results search results count; use live regions","Silently swapping UI without announcement; posting announcements too frequently (notification storm)","iOS: UIAccessibility.post(notification:.announcement, argument:'3 results found'); Android: ViewCompat.setAccessibilityLiveRegion(view, ViewCompat.ACCESSIBILITY_LIVE_REGION_POLITE)",AA
Custom Actions (Complex Gestures),swipe gesture custom action accessibility,Both,VoiceOver custom actions: swipe up through Actions rotor item,TalkBack: ViewCompat.addAccessibilityAction(); semantics block actions,"Every gesture-only interaction needs an accessible alternative in 'Actions' menu","Define UIAccessibilityCustomAction for every swipe/long-press/drag interaction; name actions clearly","Swipe-to-delete without Actions alternative; double-tap-hold gesture without custom action; drag reorder without up/down buttons","iOS: accessibilityCustomActions=[UIAccessibilityCustomAction(name:'Delete',target:...)]; Compose: semantics { customActions = [...] }",AA
Group Elements Semantically,element grouping accessibility focus clutter,Both,VoiceOver: each leaf being individually focused clutters navigation,TalkBack: too many focus stops per list row; screenReaderFocusable attribute,Group visually related elements into single accessible element where content is inseparable,"Use shouldGroupAccessibilityChildren / accessibilityElement(children:.combine) to group icon+label+value into one focus stop","Individually accessible label AND value AND button in same row when they're semantically one unit; user swipes 10× for simple info","iOS: .accessibilityElement(children: .combine); .accessibilityLabel('Netflix, 4.5 stars, 2 hours'); Compose: semantics(mergeDescendants = true)",A
