Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
Performance,Use ListView.builder for long lists,Column with children list computes all items upfront; ListView.builder uses lazy rendering building only visible items plus a small buffer,"Use ListView.builder with itemCount and itemBuilder; set itemExtent if all items same height for maximum performance; cacheExtent for look-ahead","Wrap long lists in SingleChildScrollView + Column (OOM risk with hundreds of items)","ListView.builder(itemCount: items.length, itemBuilder: (ctx, i) => ItemRow(item: items[i]), itemExtent: 72)","Column(children: items.map((i) => ItemRow(item: i)).toList())  // All items built at once",Critical,https://api.flutter.dev/flutter/widgets/ListView/ListView.builder.html
Performance,Use const constructors to prevent unnecessary rebuilds,Widgets without const rebuild even if their props haven't changed; const widgets are compile-time constants and never rebuilt,"Add const to all widgets possible: const Text() const Icon() const SizedBox() const Padding(); use const everywhere in widget trees","Build widget trees without const; create new Color/TextStyle instances in build() without const","Column(children: [const Text('Hello'), const Icon(Icons.star), const SizedBox(height: 16)])","Column(children: [Text('Hello'), Icon(Icons.star), SizedBox(height: 16)])  // Rebuilt on every parent rebuild",High,https://dart.dev/language/const#constant-constructors
Performance,Minimize build() method work,Everything in build() runs on every rebuild triggered by setState or parent rebuild; expensive operations slow frames,"Move expensive computations outside build(); use cached_network_image for images; define static data as class constants; use RepaintBoundary to isolate subtrees","Parse JSON/dates in build(); make network calls in build(); create complex data structures in build()","class _MyState extends State<My> { late final sorted = items.sorted(); @override Widget build(ctx) => ListView.builder(itemCount: sorted.length) }","Widget build(ctx) => ListView.builder(itemCount: items.sorted().length)  // sorted() runs every frame",High,https://docs.flutter.dev/perf/best-practices
Navigation,Use GoRouter for type-safe declarative routing,"Navigator 1.0 push/pop is imperative and doesn't support deep links/web well; Navigator 2.0 is complex; GoRouter provides declarative URL-based routing with type-safety","Define routes in GoRouter with path patterns; use go() not push() for replacement; goNamed() for type-safe navigation; ShellRoute for persistent bottom nav","Use Navigator.push() for deep-link-compatible screens; use route names as plain strings","final router = GoRouter(routes: [GoRoute(path:'/home', builder:(ctx,state)=>HomeScreen()), GoRoute(path:'/user/:id', builder:(ctx,state)=>UserScreen(id:state.pathParameters['id']!))])","Navigator.push(context, MaterialPageRoute(builder:(_)=>HomeScreen()))  // No deep link support",High,https://pub.dev/packages/go_router
Navigation,Configure bottom tab persistence with StatefulShellRoute,Simple BottomNavigationBar with Navigator loses stack state when switching tabs; StatefulShellRoute preserves each branch's navigation stack,"Use StatefulShellRoute.indexedStack() in GoRouter; each branch gets its own Navigator; state preserved on tab switch","Replace tabs by popping all routes on switch; use separate NavigatorKeys manually without GoRouter","StatefulShellRoute.indexedStack(builder:(ctx,state,shell)=>ScaffoldWithNavBar(shell:shell), branches:[StatefulShellBranch(routes:[GoRoute(path:'/home',...)])])","BottomNavigationBar(onTap:(i)=>setState(()=>_index=i)) // Loses stack state on tab switch",High,https://pub.dev/documentation/go_router/latest/go_router/StatefulShellRoute-class.html
Layout,Use SafeArea widget for notch-safe layouts,Widgets directly in Scaffold body without SafeArea can render behind notch status bar or home indicator,"Wrap content in SafeArea; Scaffold already handles top nav bar area but body content needs SafeArea for edge cases; pass minimum parameter for partial areas","Hardcode top padding; use MediaQuery.of(ctx).padding.top directly without SafeArea widget","Scaffold(body: SafeArea(child: Column(children: [YourContent()])))","Scaffold(body: Column(children: [Padding(padding: EdgeInsets.only(top: 44), child: YourContent())]))  // Hardcoded",High,https://api.flutter.dev/flutter/widgets/SafeArea-class.html
Layout,Use MediaQuery and LayoutBuilder for responsive layouts,Hardcoded dimensions break on different screen sizes; responsive layouts adapt to available space,"Use MediaQuery.sizeOf(context) for screen dimensions; LayoutBuilder for parent-constrained sizing; avoid accessing in build root (use Slivers instead)","Hardcode pixel width for phone (assumes same screen); use MediaQuery deep in widget tree frequently (causes rebuild cascade)","LayoutBuilder(builder:(ctx,constraints)=>constraints.maxWidth>600?WideLayout():NarrowLayout())","Container(width: 375)  // Breaks on any other screen size",High,https://api.flutter.dev/flutter/widgets/LayoutBuilder-class.html
Layout,Scaffold provides correct layout structure,Building custom scaffold-like structures loses MaterialApp integration (Drawer BottomSheet Snackbar FAB positioning) and visual regression risks,"Use Scaffold for every screen; use Scaffold's body bottomNavigationBar floatingActionButton drawer appBar properties; nest Scaffolds only for specific cases","Create custom Stack-based layouts to replicate Scaffold behavior; use root-level Stack for FAB and bottom bar","Scaffold(appBar: AppBar(title: Text('Home')), body: HomeContent(), bottomNavigationBar: NavBar(), floatingActionButton: FAB())","Stack(children:[HomeContent(), Positioned(bottom:16,right:16,child:FAB()), Positioned(bottom:0,...NavBar())])  // Wrong",Critical,https://api.flutter.dev/flutter/material/Scaffold-class.html
State Management,Use Riverpod for scalable state management,StatefulWidget setState works for local state but global/shared state requires proper DI; Provider is deprecated in favor of Riverpod,"Use Riverpod: StateNotifierProvider for mutable state; FutureProvider for async; ref.watch in build; ref.read in callbacks","Use setState for data shared across screens; use Provider package (deprecated); global variables for state","@riverpod class CounterNotifier extends _$CounterNotifier { @override int build() => 0; void increment() => state++; } // Widget: ref.watch(counterNotifierProvider)","class _State extends State<Widget> { int counter = 0; void inc() => setState(()=>counter++); } // Not scalable for shared state",High,https://riverpod.dev
Accessibility,Use Semantics widget to provide accessible labels,Many custom widgets have no semantic meaning by default; users of TalkBack and screen readers cannot understand the interface,"Wrap custom interactive widgets in Semantics; use semanticsLabel for Images; excludeFromSemantics for decorative elements; mergeAllDescendantsIntoTree for grouped items","Ignore Semantics for custom widgets; use Icon without semanticLabel; forget to mark headings","Semantics(label: 'Profile photo of ${user.name}', image: true, child: CircleAvatar(backgroundImage: NetworkImage(user.avatarUrl)))","CircleAvatar(backgroundImage: NetworkImage(user.avatarUrl))  // No accessible name",Critical,https://api.flutter.dev/flutter/widgets/Semantics-class.html
