Animation Type,Keywords,Platform,Duration (ms),Easing,Do,Don't,Performance Impact,Reduced Motion Handling
Push Navigation Transition,push navigation transition screen slide stack,Both,350,ease-out cubic,"Slide new screen in from right; outgoing screen slides partially left (parallax offset); matches platform default","Custom transitions that fight platform direction (e.g., slide up for drill-down); excessive blur transitions on older devices",Low,Reduce: cross-dissolve/fade 150ms instead of slide; RN: Animated.timing with very short duration; SwiftUI: .transition(.opacity)
Pop Navigation Transition,pop navigation back swipe slide out,Both,350,ease-in cubic,"Slide current screen out to right; previous screen slides in from left; iOS: interactive swipe drives animation","Instant dismiss without animation; different direction than push (breaks mental model)",Low,Reduce: cross-dissolve 150ms; maintain direction consistency even in reduced motion
Modal Present (Sheet),modal sheet present slide up,Both,400,spring damping=0.85,"Slide sheet up from bottom with spring; dim background (scrim) fades in simultaneously; grab handle appears","Hard pop-in without spring (feels abrupt); slow over 500ms (feels laggy); no scrim (depth perception lost)",Low,Reduce: fade in 200ms instead of slide up; no spring animation
Modal Dismiss (Sheet),modal sheet dismiss swipe down,Both,300,ease-in,"Slide sheet down to bottom; scrim fades out simultaneously; proportional to swipe if gesture-driven","Hard snap-dismiss without slide out; faster than presentation (unbalanced); keep scrim after sheet gone",Low,Reduce: fade out 150ms; snap dismiss acceptable
Shared Element Transition,shared element hero transition image expand,Both,400,spring stiffness=300 damping=30,"Match source frame exactly → animate bounds to destination; fade crossfade overlapping views 150ms into transition; use matchedGeometryEffect (SwiftUI) or shared element (Compose Compose 1.7+)","Shared element on list with 20+ visible items (performance); mismatched bounds causing jump; skipping matching step",High — avoid with 20+ items in list,"Reduce: simple cross-dissolve 250ms between source and destination screens; remove hero animation; use modal scale instead"
Tab Switch Animation,tab switch bottom bar navigation transition,Both,200,ease-in-out,"Cross-dissolve between tab content; icon animates (scale 1→0.85→1 bounce for selected); color shifts to active","Slide animation between tabs (break mental model of peer sections); heavy transition for frequent action",Low,Reduce: no transition animation; instant tab switch; icon color change only
Page Swipe (Pager),page swipe horizontal pager scroll snap,Both,350,ease-out or spring (RN),"Track finger 1:1; snap to nearest page on release; page control dots update with scroll position","Page snap that's too fast (disorienting) or too slow (feels stuck); no snap (user stops on partial page)",Low,Reduce: instant page change on button press; disable swipe gesture on reduced motion page
Skeleton Shimmer,skeleton shimmer loading placeholder pulse,Both,1200,linear infinite loop,"Gradient sheen moves left-to-right repeating; 60% base color 100% highlight color; match content shape exactly","Fast/jarring shimmer; shimmer on already-loaded content; very high contrast shimmer colors",Low (CSS-like),Reduce: static placeholder without animation (just gray shape); no shimmer movement
Pull-to-Refresh Animation,pull to refresh spinner loading indicator gesture driven,Both,Variable: spinner 1000ms loop,"ease-out for pull; spring for release","Spinner tracks pull distance proportionally (0% → 100% revealed); snap to spinner position at threshold; haptic on threshold cross","Animating spinner before threshold; spinner that doesn't stop after data loaded; no haptic at trigger",Low,Reduce: instant trigger at pull threshold; minimal spinner; no elastic pull animation
List Item Appear,list items stagger fade appear loading content,Both,200-300 staggered 30ms per item,ease-out fade + translateY,"Items fade in + slide up 12-16pt; stagger 30ms between items (max 8 items staggered then instant after)","Animating 50+ items in sequence (janky); slow stagger that feels like loading delay; items appearing in wrong order",Medium — limit to <15 items,"Reduce: instant appear all items; no stagger; skip if list is refreshing existing content"
