Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
Performance,Prefer LazyVStack over VStack for long lists,VStack renders all children immediately into memory; LazyVStack only renders visible items and deallocs off-screen rows,"Use LazyVStack inside ScrollView for lists with 20+ items; use List for standard list UX (selection swipe); set pinnedViews for sticky headers","Use VStack.children with 100+ items; use ForEach inside VStack for dynamic content lists","ScrollView { LazyVStack(alignment: .leading, spacing: 0) { ForEach(items) { item in ItemRow(item: item) } } }","ScrollView { VStack { ForEach(items) { item in ItemRow(item: item) } } }  // All items built at once",Critical,https://developer.apple.com/documentation/swiftui/lazyvstack
Performance,Keep view body computation minimal,SwiftUI calls body frequently for any state change anywhere in the subtree; heavy body computation causes dropped frames,"Extract sub-views into separate structs (each has its own rendering cycle); use @State with minimal scope; avoid side effects in body","Fetch data compute arrays sort/filter inside body computed property; make network calls in onAppear without async task","struct ItemRow: View { let item: Item; var body: some View { HStack { Text(item.title); Spacer(); Text(item.price) } } }  // Extracted = own rendering cycle","struct ContentView: View { var body: some View { let sorted = items.sorted(); return List(sorted) { ... } }  // sorted() runs every body call",High,https://developer.apple.com/documentation/swiftui/view
Navigation,Use NavigationStack for navigation (iOS 16+),NavigationView is deprecated in iOS 16; NavigationStack provides type-safe programmatic navigation with NavigationPath,"Use NavigationStack with path binding for programmatic navigation; .navigationDestination(for:) for type-safe routing; NavigationSplitView for iPad","Use NavigationView (deprecated); present screens by binding showDetail without navigation stack path","@State private var path = NavigationPath(); NavigationStack(path: $path) { ContentView().navigationDestination(for: Item.self) { item in DetailView(item: item) } }","NavigationView { ContentView().navigationLink(destination: DetailView(), isActive: $show) }  // Deprecated",Critical,https://developer.apple.com/documentation/swiftui/navigationstack
Navigation,Handle deep links via onOpenURL and .navigationDestination,SwiftUI handles deep links via the scene phase and URL opening; properly map URL to navigation state,"Use .onOpenURL modifier on root view; update NavigationPath based on URL; decode path parameters; test with Simulator > Device > Open URL","Rely on AppDelegate for URL handling when using SwiftUI scene lifecycle; ignore back stack considerations for deep links","ContentView().onOpenURL { url in if let itemId = parseItemId(from: url) { path.append(Item(id: itemId)) } }","func application(_ app: UIApplication, open url: URL, ...) { ... }  // UIKit pattern in SwiftUI app",High,https://developer.apple.com/documentation/swiftui/environmentvalues/openurl
State,Use @StateObject for mutable reference types — not @ObservedObject,@ObservedObject recreates the object on parent rebuild losing state; @StateObject creates once and retains through re-renders,"Use @StateObject for ViewModels owned by the view; @ObservedObject for ViewModels passed in; @EnvironmentObject for deeply shared state","Use @ObservedObject for a ViewModel created in the view (recreated on every parent rebuild losing work)","@StateObject private var viewModel = HomeViewModel()  // Created once retained for view lifetime","@ObservedObject var viewModel = HomeViewModel()  // Recreated every parent rebuild — data lost",Critical,https://developer.apple.com/documentation/swiftui/stateobject
State,Use @AppStorage for simple persisted settings,UserDefaults persistence usually requires boilerplate wrapper; @AppStorage ties directly to UserDefaults key with automatic observation,"@AppStorage for user preferences small settings; never for large data (use Core Data or files)","Use @AppStorage for URLs Data binary Data arrays; use for megabytes of data (use file storage instead)","@AppStorage('isDarkMode') private var isDarkMode: Bool = false; Toggle('Dark Mode', isOn: $isDarkMode)","UserDefaults.standard.set(isDarkMode, forKey:'isDarkMode')  // Manual boilerplate sync",Medium,https://developer.apple.com/documentation/swiftui/appstorage
Layout,Use safeAreaInset for content adjacent to safe area boundaries,safeAreaInset adds content in the safe area without obscuring main content — perfect for persistent overlay bars,"Use .safeAreaInset(edge:.bottom) for floating bottom bars search bars or mini-players; doesn't require manual padding calc","Add hardcoded bottom padding to accommodate overlapping views; use ZStack with manual safe area calculation","VStack { MainContent() }.safeAreaInset(edge: .bottom) { MiniPlayerBar() }","ZStack { MainContent().padding(.bottom, 80); VStack { Spacer(); MiniPlayerBar() } }  // Manual and fragile",High,https://developer.apple.com/documentation/swiftui/view/safeareainset(edge:alignment:spacing:content:)
Layout,Use GeometryReader sparingly — extract to separate view,GeometryReader forces a size measurement pass and can cause layout ambiguity if overused; it passes available space,"Use only when truly needed (proportional sizing overlay placement); extract GeometryReader into leaf view not parent","Wrap large view trees in GeometryReader for minor size info; nest multiple GeometryReaders; use in List rows","struct AdaptiveRow: View { var body: some View { GeometryReader { geo in HStack { content.frame(width: geo.size.width * 0.7) } } } }","GeometryReader { geo in LazyVStack { ForEach(items) { item in Row(item:item, width:geo.size.width) } } }  // Redundant expensive",Medium,https://developer.apple.com/documentation/swiftui/geometryreader
Accessibility,Use .accessibilityLabel and .accessibilityHint correctly,Unlabeled interactive elements are announced as 'button' or 'image' with no context by VoiceOver,"accessibilityLabel: what the element IS (noun phrase); accessibilityHint: what happens on activation (verb phrase); hide decorative with .accessibilityHidden(true)","Use label for instruction (put that in hint); use redundant labels that just repeat the button text","Image('heart.fill').accessibilityLabel('Like post').accessibilityHint('Double tap to toggle like')","Image('heart.fill').accessibilityLabel('Double tap to like')  // Instructions belong in hint not label",High,https://developer.apple.com/documentation/swiftui/view/accessibilitylabel(_:)-5f0zj
Accessibility,Mark headings with .accessibilityAddTraits(.isHeader),VoiceOver Rotor allows navigation by headings; unmarked visual headings are not navigable via rotor,"Add .accessibilityAddTraits(.isHeader) to every section/screen heading; H1 equivalent for screen title; H2 for section headers","Apply header trait only to visually large text ignoring semantic hierarchy; mark every bold text as header","Text('Today').font(.title2.bold()).accessibilityAddTraits(.isHeader)","Text('Today').font(.title2.bold())  // VoiceOver cannot navigate to this by heading",High,https://developer.apple.com/documentation/swiftui/accessibilitytraits/isheader
Animation,Use matchedGeometryEffect for shared element transitions,matchedGeometryEffect syncs position/size/shape of two views across a namespace enabling hero-style transitions within a view hierarchy,"Create @Namespace; apply .matchedGeometryEffect(id:,in:) to matching source and target; use with withAnimation","Use matchedGeometryEffect with different IDs on source/target (no effect); use across NavigationStack (use Hero in UIKit for that)","@Namespace private var ns; ForEach(items) { item in if selected == item { DetailCard().matchedGeometryEffect(id:item.id, in:ns) } else { GridCard().matchedGeometryEffect(id:item.id, in:ns) } }","Animation { show.toggle() }  // No shared element — just a crossfade not a hero",High,https://developer.apple.com/documentation/swiftui/view/matchedgeometryeffect(id:in:properties:anchor:issource:)
